phrase	label
will advise	1
will advised	0
will advising	0
will close	1
will closed	0
will closing	0
will occur	1
will occurred	0
will occurring	0
will reverse	1
will reversed	0
will reversing	0
will say	1
will saying	0
will mean	1
will meant	0
will meaning	0
will stay	1
will stayed	0
will staying	0
will have	1
will confirm	1
will confirmed	0
will confirming	0
will invite	1
will invited	0
will inviting	0
will share	1
will shared	0
will sharing	0
will win	1
will won	0
will winning	0
will include	1
will included	0
will lure	1
will lured	0
will luring	0
will be	1
will rank	1
will ranked	0
will ranking	0
will fire	1
will fired	0
will firing	0
will do	1
will done	0
will doing	0
will becoming	0
will meet	1
will meeting	0
will lobby	1
will lobbied	0
will lobbying	0
will help	1
will helped	0
will keep	1
will kept	0
will flow	1
will flowed	0
will flowing	0
will remain	1
will remaining	0
will suspend	1
will suspended	0
will suspending	0
will work	1
will worked	0
will working	0
will serve	1
will served	0
will serving	0
will rise	1
will risen	0
will rising	0
will seem	1
will seemed	0
will seeming	0
will join	1
will joined	0
will joining	0
will play	1
will played	0
will playing	0
will maintain	1
will maintained	0
will maintaining	0
will coming	0
will beat	1
will beaten	0
will beating	0
will involve	1
will involved	0
will involving	0
will gather	1
will gathered	0
will gathering	0
will add	1
will added	0
will adding	0
will continue	1
will continuing	0
will carry	1
will carried	0
will carrying	0
will take	1
will reduce	1
will reduced	0
will reducing	0
will inspect	1
will inspected	0
will inspecting	0
will underperform	1
will underperformed	0
will underperforming	0
will protest	1
will protested	0
will protesting	0
will call	1
will calling	0
will review	1
will reviewed	0
will reviewing	0
will drop	1
will dropped	0
will dropping	0
will pick	1
will picked	0
will picking	0
will stop	1
will stopped	0
will stopping	0
will concern	1
will concerned	0
will concerning	0
will recommend	1
will recommended	0
will recommending	0
will estimate	1
will estimated	0
will estimating	0
will spend	1
will slam	1
will slammed	0
will slamming	0
will launch	1
will launched	0
will launching	0
will raise	1
will raised	0
will raising	0
will enforce	1
will enforced	0
will enforcing	0
will cite	1
will cited	0
will citing	0
will sue	1
will sued	0
will suing	0
will claim	1
will claimed	0
will claiming	0
will encourage	1
will encouraged	0
will encouraging	0
will pay	1
will paid	0
will paying	0
will lose	1
will losing	0
will sell	1
will sold	0
will selling	0
will make	1
will compete	1
will competed	0
will competing	0
will owe	1
will owed	0
will owing	0
will need	1
will needing	0
will move	1
will moved	0
will moving	0
will accept	1
will accepted	0
will accepting	0
will build	1
will building	0
will inherit	1
will inherited	0
will inheriting	0
will transform	1
will transformed	0
will transforming	0
will flourish	1
will flourished	0
will flourishing	0
will tailor	1
will tailored	0
will tailoring	0
will buy	1
will bought	0
will buying	0
will wear	1
will worn	0
will wearing	0
will live	1
will lived	0
will living	0
will finance	1
will financed	0
will financing	0
will ride	1
will ridden	0
will riding	0
will support	1
will supported	0
will supporting	0
will understand	1
will understood	0
will understanding	0
will follow	1
will followed	0
will following	0
will link	1
will linked	0
will linking	0
will grant	1
will granted	0
will granting	0
will choose	1
will chosen	0
will choosing	0
will accord	1
will accorded	0
will according	0
will want	1
will wanted	0
will wanting	0
will see	1
will seeing	0
will explain	1
will explained	0
will explaining	0
will illustrate	1
will illustrated	0
will illustrating	0
will diagnose	1
will diagnosed	0
will diagnosing	0
will start	1
will started	0
will starting	0
will prove	1
will proven	0
will proving	0
will identify	1
will identified	0
will identifying	0
will display	1
will displayed	0
will displaying	0
will generate	1
will generating	0
will plunge	1
will plunged	0
will plunging	0
will talk	1
will talked	0
will talking	0
will argue	1
will argued	0
will arguing	0
will cater	1
will catered	0
will catering	0
will mind	1
will minded	0
will minding	0
will develop	1
will developed	0
will developing	0
will assure	1
will assured	0
will assuring	0
will know	1
will known	0
will knowing	0
will expect	1
will expected	0
will expecting	0
will report	1
will reported	0
will reporting	0
will fall	1
will fallen	0
will falling	0
will reflect	1
will reflected	0
will reflecting	0
will deepen	1
will deepened	0
will deepening	0
will show	1
will showing	0
will manipulate	1
will manipulated	0
will manipulating	0
will oppose	1
will opposed	0
will opposing	0
will give	1
will allow	1
will allowed	0
will allowing	0
will issue	1
will issued	0
will issuing	0
will quell	1
will quelled	0
will quelling	0
will decline	1
will declined	0
will declining	0
will comment	1
will commented	0
will commenting	0
will finish	1
will finished	0
will finishing	0
will obstruct	1
will obstructed	0
will obstructing	0
will release	1
will releasing	0
