aux	inflected	infinitive
will	wallop	wallop
will	evaporate	evaporate
will	clasp	clasp
will	await	await
will	probe	probe
will	gauge	gauge
will	safeguard	safeguard
will	appease	appease
will	measure	measure
will	usher	usher
will	sputter	sputter
will	infect	infect
will	abolish	abolish
will	destroy	destroy
will	observe	observe
will	express	express
will	cherish	cherish
will	beckon	beckon
will	calibrate	calibrate
will	piece	piece
will	coexist	coexist
will	flaunt	flaunt
will	referee	referee
will	foment	foment
will	permeate	permeate
will	catalyze	catalyze
will	spew	spew
will	lure	lure
will	spend	spend
will	deny	deny
will	wait	wait
will	stake	stake
will	perpetuate	perpetuate
will	bore	bore
will	scratch	scratch
will	reopen	reopen
will	sample	sample
will	flank	flank
will	exhort	exhort
will	link	link
will	wind	wind
will	conceive	conceive
will	jeer	jeer
will	doubt	doubt
will	guarantee	guarantee
will	breach	breach
will	pin	pin
will	entail	entail
will	code	code
will	see	see
will	turn	turn
will	outline	outline
will	depend	depend
will	retain	retain
will	attempt	attempt
will	envelop	envelop
will	grab	grab
will	spit	spit
will	retell	retell
will	hatch	hatch
will	infuse	infuse
will	formulate	formulate
will	tape	tape
will	teach	teach
will	respond	respond
will	plant	plant
will	preach	preach
will	pause	pause
will	allay	allay
will	ward	ward
will	implore	implore
will	exempt	exempt
will	reenter	reenter
will	invoke	invoke
will	bellow	bellow
will	base	base
will	freeze	freeze
will	indicate	indicate
will	flop	flop
will	stalk	stalk
will	regroup	regroup
will	funnel	funnel
will	scoff	scoff
will	cringe	cringe
will	snooze	snooze
will	polarize	polarize
will	loan	loan
will	cuddle	cuddle
will	whack	whack
will	decry	decry
will	reproduce	reproduce
will	present	present
will	underperform	underperform
will	read	read
will	execute	execute
will	dissect	dissect
will	gross	gross
will	institute	institute
will	pit	pit
will	bide	bide
will	colonize	colonize
will	dish	dish
will	scuttle	scuttle
will	devastate	devastate
will	shepherd	shepherd
will	perish	perish
will	ferry	ferry
will	bother	bother
will	rotate	rotate
will	age	age
will	scupper	scupper
will	indoctrinate	indoctrinate
will	capsize	capsize
will	scamper	scamper
will	rue	rue
will	pick	pick
will	know	know
will	report	report
will	embrace	embrace
will	charge	charge
will	match	match
will	defend	defend
will	reset	reset
will	nestle	nestle
will	throttle	throttle
will	readjust	readjust
will	ramble	ramble
will	blaze	blaze
will	help	help
will	transform	transform
will	learn	learn
will	introduce	introduce
will	attest	attest
will	imprint	imprint
will	populate	populate
will	rummage	rummage
will	collate	collate
will	careen	careen
will	infiltrate	infiltrate
will	warm	warm
will	finance	finance
will	accord	accord
will	found	found
will	hand	hand
will	got	got
will	let	let
will	underscore	underscore
will	indict	indict
will	reiterate	reiterate
will	differ	differ
will	squirm	squirm
will	beg	beg
will	reunite	reunite
will	yell	yell
will	droop	droop
will	underline	underline
will	relegate	relegate
will	ordain	ordain
will	barricade	barricade
will	whisper	whisper
will	gobble	gobble
will	combine	combine
will	crack	crack
will	burst	burst
will	outnumber	outnumber
will	imbibe	imbibe
will	waive	waive
will	shine	shine
will	concoct	concoct
will	segregate	segregate
will	treble	treble
will	trot	trot
will	refurbish	refurbish
will	memorialize	memorialize
will	withstand	withstand
will	pirate	pirate
will	redeploy	redeploy
will	crunch	crunch
will	scrape	scrape
will	certify	certify
will	expect	expect
will	interpret	interpret
will	advance	advance
will	resemble	resemble
will	worsen	worsen
will	jut	jut
will	pander	pander
will	meander	meander
will	bludgeon	bludgeon
will	shell	shell
will	tan	tan
will	retool	retool
will	intervene	intervene
will	compound	compound
will	graduate	graduate
will	win	win
will	place	place
will	ease	ease
will	upstage	upstage
will	disinfect	disinfect
will	impart	impart
will	crackle	crackle
will	rank	rank
will	develop	develop
will	ignore	ignore
will	damage	damage
will	notify	notify
will	dedicate	dedicate
will	compromise	compromise
will	finalize	finalize
will	slug	slug
will	misread	misread
will	snarl	snarl
will	parlay	parlay
will	exclaim	exclaim
will	dramatize	dramatize
will	cover	cover
will	insert	insert
will	direct	direct
will	flip	flip
will	join	join
will	repay	repay
will	wonder	wonder
will	outperform	outperform
will	score	score
will	ring	ring
will	prosecute	prosecute
will	suspend	suspend
will	impose	impose
will	shun	shun
will	ravage	ravage
will	intrude	intrude
will	sag	sag
will	ply	ply
will	redesign	redesign
will	stagger	stagger
will	chalk	chalk
will	polish	polish
will	uphold	uphold
will	wake	wake
will	press	press
will	include	include
will	try	try
will	give	give
will	loosen	loosen
will	eat	eat
will	promote	promote
will	shout	shout
will	rejuvenate	rejuvenate
will	emit	emit
will	avoid	avoid
will	dig	dig
will	service	service
will	cleanse	cleanse
will	demolish	demolish
will	outsell	outsell
will	flinch	flinch
will	peck	peck
will	rearrange	rearrange
will	expose	expose
will	disburse	disburse
will	return	return
will	overtake	overtake
will	stabilize	stabilize
will	contest	contest
will	repudiate	repudiate
will	predate	predate
will	exert	exert
will	rationalize	rationalize
will	encrypt	encrypt
will	inoculate	inoculate
will	vacuum	vacuum
will	ban	ban
will	brew	brew
will	hone	hone
will	embark	embark
will	refund	refund
will	demarcate	demarcate
will	oppress	oppress
will	expand	expand
will	agree	agree
will	schedule	schedule
will	marry	marry
will	recognize	recognize
will	assess	assess
will	abuse	abuse
will	document	document
will	presage	presage
will	allot	allot
will	mount	mount
will	peg	peg
will	hear	hear
will	involve	involve
will	conduct	conduct
will	rumble	rumble
will	cavort	cavort
will	reinvent	reinvent
will	void	void
will	denote	denote
will	group	group
will	lynch	lynch
will	taper	taper
will	compliment	compliment
will	cement	cement
will	wallow	wallow
will	embezzle	embezzle
will	scorch	scorch
will	derail	derail
will	acknowledge	acknowledge
will	distract	distract
will	kick	kick
will	cross	cross
will	prompt	prompt
will	defeat	defeat
will	draw	draw
will	discourage	discourage
will	approve	approve
will	crawl	crawl
will	irk	irk
will	slander	slander
will	rehash	rehash
will	query	query
will	splurge	splurge
will	dislike	dislike
will	dispose	dispose
will	mop	mop
will	owe	owe
will	lower	lower
will	sleep	sleep
will	revise	revise
will	reform	reform
will	recede	recede
will	hurry	hurry
will	reappear	reappear
will	swallow	swallow
will	pound	pound
will	finish	finish
will	catch	catch
will	squeeze	squeeze
will	sever	sever
will	halve	halve
will	slog	slog
will	object	object
will	prop	prop
will	hover	hover
will	undercut	undercut
will	punctuate	punctuate
will	uncover	uncover
will	live	live
will	prepare	prepare
will	face	face
will	begin	begin
will	submit	submit
will	bump	bump
will	underwrite	underwrite
will	bumble	bumble
will	sneer	sneer
will	convince	convince
will	burn	burn
will	view	view
will	traverse	traverse
will	separate	separate
will	redirect	redirect
will	trick	trick
will	pip	pip
will	haggle	haggle
will	whine	whine
will	contemplate	contemplate
will	disband	disband
will	appreciate	appreciate
will	exist	exist
will	sum	sum
will	distill	distill
will	distance	distance
will	traipse	traipse
will	lash	lash
will	grunt	grunt
will	totter	totter
will	trend	trend
will	omit	omit
will	emanate	emanate
will	caucus	caucus
will	range	range
will	contact	contact
will	recline	recline
will	imperil	imperil
will	understand	understand
will	crowd	crowd
will	look	look
will	panic	panic
will	sing	sing
will	contain	contain
will	democratize	democratize
will	tap	tap
will	capitalize	capitalize
will	consecrate	consecrate
will	lunch	lunch
will	guzzle	guzzle
will	close	close
will	total	total
will	display	display
will	revoke	revoke
will	vex	vex
will	hinge	hinge
will	ponder	ponder
will	neutralize	neutralize
will	flare	flare
will	sort	sort
will	want	want
will	sprout	sprout
will	distinguish	distinguish
will	stipulate	stipulate
will	crop	crop
will	galvanize	galvanize
will	vent	vent
will	unwind	unwind
will	organize	organize
will	undervalue	undervalue
will	rob	rob
will	pave	pave
will	remonstrate	remonstrate
will	translate	translate
will	claim	claim
will	cause	cause
will	forecast	forecast
will	wreck	wreck
will	legalize	legalize
will	wane	wane
will	torment	torment
will	disconnect	disconnect
will	overspend	overspend
will	flog	flog
will	penalize	penalize
will	sense	sense
will	need	need
will	applaud	applaud
will	nab	nab
will	activate	activate
will	chime	chime
will	fritter	fritter
will	outclass	outclass
will	tamp	tamp
will	linger	linger
will	signify	signify
will	deliver	deliver
will	smash	smash
will	shower	shower
will	care	care
will	arouse	arouse
will	relax	relax
will	propel	propel
will	tangle	tangle
will	lick	lick
will	mould	mould
will	starve	starve
will	renegotiate	renegotiate
will	pitch	pitch
will	equalize	equalize
will	request	request
will	drain	drain
will	accompany	accompany
will	integrate	integrate
will	conflate	conflate
will	notch	notch
will	flail	flail
will	scrimp	scrimp
will	corroborate	corroborate
will	plunk	plunk
will	ignite	ignite
will	implement	implement
will	authorize	authorize
will	rescind	rescind
will	pretend	pretend
will	underestimate	underestimate
will	negate	negate
will	customize	customize
will	resettle	resettle
will	accentuate	accentuate
will	wend	wend
will	enthuse	enthuse
will	annul	annul
will	send	send
will	farm	farm
will	wage	wage
will	pinpoint	pinpoint
will	cruise	cruise
will	sidestep	sidestep
will	encroach	encroach
will	shriek	shriek
will	reverberate	reverberate
will	swab	swab
will	annoy	annoy
will	satirize	satirize
will	obliterate	obliterate
will	verify	verify
will	market	market
will	extend	extend
will	sound	sound
will	restrain	restrain
will	wave	wave
will	belong	belong
will	scatter	scatter
will	foresee	foresee
will	repeat	repeat
will	cope	cope
will	arm	arm
will	paint	paint
will	breed	breed
will	recount	recount
will	prove	prove
will	officiate	officiate
will	inhibit	inhibit
will	lap	lap
will	heed	heed
will	fidget	fidget
will	speculate	speculate
will	counteract	counteract
will	bulldoze	bulldoze
will	vault	vault
will	redress	redress
will	outgrow	outgrow
will	overturn	overturn
will	elect	elect
will	trust	trust
will	shop	shop
will	enforce	enforce
will	force	force
will	cancel	cancel
will	abet	abet
will	skyrocket	skyrocket
will	volley	volley
will	complicate	complicate
will	persist	persist
will	bridge	bridge
will	curb	curb
will	witness	witness
will	improve	improve
will	preoccupy	preoccupy
will	yield	yield
will	buzz	buzz
will	amend	amend
will	temper	temper
will	encode	encode
will	pacify	pacify
will	gallop	gallop
will	ally	ally
will	delay	delay
will	modify	modify
will	plummet	plummet
will	become	become
will	start	start
will	think	think
will	single	single
will	undergo	undergo
will	spark	spark
will	vary	vary
will	condone	condone
will	knit	knit
will	dissipate	dissipate
will	chug	chug
will	overshoot	overshoot
will	coincide	coincide
will	commend	commend
will	tinker	tinker
will	slither	slither
will	buckle	buckle
will	exceed	exceed
will	test	test
will	compose	compose
will	elevate	elevate
will	incur	incur
will	envisage	envisage
will	sprint	sprint
will	dabble	dabble
will	gush	gush
will	overreach	overreach
will	flicker	flicker
will	squander	squander
will	rewrite	rewrite
will	amputate	amputate
will	bask	bask
will	notice	notice
will	nullify	nullify
will	assume	assume
will	appoint	appoint
will	initiate	initiate
will	crisscross	crisscross
will	deposit	deposit
will	hark	hark
will	growl	growl
will	quicken	quicken
will	bilk	bilk
will	conceal	conceal
will	tax	tax
will	carry	carry
will	dismiss	dismiss
will	grate	grate
will	sting	sting
will	extricate	extricate
will	contravene	contravene
will	manifest	manifest
will	tremble	tremble
will	frolic	frolic
will	gloat	gloat
will	dupe	dupe
will	lessen	lessen
will	overstate	overstate
will	modernize	modernize
will	deface	deface
will	butt	butt
will	criminalize	criminalize
will	trickle	trickle
will	congregate	congregate
will	date	date
will	clamber	clamber
